,Dissolved Oxygen
2020-01-05,
2020-01-10,0.15575922173048473
2020-01-30,0.1649375661022302
2020-02-09,0.1264538107033936
2020-02-14,0.12749307380806604
2020-02-24,0.11397412936491533
2020-02-29,0.0670180615350829
2020-03-10,-0.013053908743212885
2020-03-15,0.12292513102444998
2020-03-20,0.10171805366864244
2020-03-25,0.13426197347047436
2020-04-04,0.11670014584928103
2020-04-14,0.1921198713091747
2020-04-24,0.15007250728330424
2020-05-04,0.10735851008970658
2020-05-09,0.0022193497794338597
2020-05-14,0.09105863011964747
2020-05-21,0.1326337885428283
2020-05-24,0.15273151561682427
2020-06-08,0.09809977064856511
2020-06-13,0.0420464743384985
2020-07-13,-0.020782936417978442
2020-09-21,0.0023724154292808974
2020-09-26,0.05090570801470682
2020-09-28,0.010583938445267142
2020-10-01,0.034465387223741296
2020-10-06,0.09305646362412985
2020-10-08,0.11558501300811187
2020-10-11,0.10683945821767357
2020-10-16,0.10880441398291929
2020-10-18,0.06572620343158944
2020-10-21,0.10379433774460652
2020-10-26,0.10858890020270637
2020-10-28,0.09750749834473886
2020-10-31,0.12167240947490977
2020-11-05,0.13024959039491563
2020-11-07,0.08832703211577893
2020-11-10,0.08657787504923124
2020-11-15,0.08561922265014342
2020-11-17,0.08415006832505886
2020-11-20,0.0860098345816465
2020-11-27,0.07082776402484164
2020-11-30,0.029155990161403196
2020-12-05,0.07605787280463763
2020-12-10,0.08239625794548944
2020-12-15,0.17370906619851625
2020-12-20,0.1118339168144123
2020-12-25,0.06829293818146392
2021-01-09,0.0825224945080862
2021-01-14,0.10763609774612531
2021-01-16,0.042483808394411425
2021-01-19,0.04304983356828978
2021-01-21,0.05258939558161422
2021-01-24,0.02222046374011664
2021-01-26,0.06169174070192901
2021-01-29,0.04010999588093651
2021-01-31,0.09176018162864218
2021-02-05,0.07573356983521892
2021-02-08,0.08428748178567767
2021-02-10,0.05556922375067936
2021-02-13,-0.0058424184989563106
2021-02-15,-0.013051489009282411
2021-02-18,-0.0177270103672792
2021-02-20,0.004320464486817087
2021-02-23,
2021-02-25,0.03420934957798071
2021-02-28,0.06572005489244034
2021-03-02,0.0751587558028323
2021-03-05,-0.013513892820809403
2021-03-15,0.07735238710567925
2021-03-17,0.05162152999649025
2021-03-20,-0.026010786637842228
2021-03-25,0.07193774490470814
2021-03-30,0.07351328797434994
2021-04-04,0.04654228826715283
2021-04-09,0.07370061989103459
2021-04-14,0.11979742091552478
2021-04-19,0.12684459409479826
2021-04-29,0.05803056717855293
2021-05-04,0.025929153491730566
2021-05-09,-0.008759333975305214
2021-05-14,-0.01494036191802846
2021-05-24,-0.0012629524483620325
2021-05-31,0.01683019869149477
2021-06-03,0.012689059308603905
2021-06-08,0.015467252282101322
2021-06-30,-0.008366629710542537
2021-09-26,-0.06426590548607143
2021-10-03,0.06367479957832814
2021-10-06,-0.014538310402301982
2021-10-08,0.03944908081140745
2021-10-11,0.06876946331206989
2021-10-13,0.08486094071675518
2021-10-16,0.12739155248772235
2021-10-21,0.16298881421498015
2021-10-23,-0.011018327146814179
2021-10-26,-0.0008887297504765452
2021-10-28,0.035188232863766294
2021-10-31,0.042520195332758894
2021-11-02,0.09857844327649783
2021-11-05,0.09301396867161583
2021-11-07,0.12076132918278618
2021-11-10,0.13234203593827742
2021-11-15,0.12611218268224872
2021-11-17,0.08111354458799236
2021-11-20,0.03789344479430564
2021-11-25,0.16719743355889471
2021-12-07,0.10097787246834355
2021-12-10,
2021-12-15,0.14646142514554733
2021-12-20,0.2058219872787139
2021-12-25,0.1268218456696044
2021-12-27,0.11409742621507345
